"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bhutan","BTN","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","2300000","","","","","","","","","","","","","","","","","","","36001000","44060000","49419000","58194000","71275000","22820624.53","23303583.23","23317877.4","22611941.28","24098000","214476689","222634965","207722000","224200000","235000000","287621000","","","","","",
"Botswana","BWA","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4446600559","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23144000000","25911000000","29547000000","30827000000","32871000000","33953000000","33585000000","35812000000","37285000000","39659000000","43672000000","46965000000","50740000000","53041000000","53977000000","56664000000","57936000000","62218000000","63341000000","64667000000","64969000000","67728000000","72389000000","76823000000","79628000000","82853000000","84187000000","84290000000","88206000000","93607000000","93642000000","106221000000","117131000000","135245000000","145386000000","",
"Central Europe and the Baltics","CEB","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","6517000000","9353000000","10976000000","12017000000","12885000000","13681000000","14519000000","15143000000","16077000000","17338000000","18682000000","20048000000","21751000000","23368000000","24671000000","26014000000","27964000000","30166000000","19958789590","21535833980","22438267600","25831559580","25803199430","28030111840","28386381910","28750306120","28367322880","29497722350","30884771780","32593429980","33282954800","32459217540","31668591930","32240741090","33294108130","34905389140","36865449310","38153773690","38330264440","40961645170","41861533290","42786240900","43447218660","44189332810","44684464640","45171199880","46001664770","47141744980","49043561090","50582179780","52270895570","53574808750","","",
"Channel Islands","CHI","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","20000000","60000000","250000000","1130000000","4370000000","10560000000","18130000000","40720000000","59710000000","51710000000","31320000000","35720000000","45570000000","54600000000","68650000000","84170000000","91870000000","127700000000","159560000000","188480000000","246150000000","276350000000","312910000000","349120000000","403050000000","449470000000","496840000000","527040000000","576760000000","628050000000","678900000000","727980000000","827630000000","932000000000","1050000000000","1148650000000","1289230000000","1371752398000","1493990000000","1623815597000","1802466000000","1968970000000","2110088627000","2252489302000","2441419589000","2627557000000","2786172675000","2994905889000","3104866452000","2815089620000","2585421442000","3281978504000","","",
"China","CHN","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3003895310000","3381464321000","3647922000000","4241766000000","5754500000000","5999147000000","4922465000000","6910085000000","7498231000000","8339579000000","","",
"Cote d'Ivoire","CIV","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52200000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8800000000","8600000000","16600000000","18000000000","13710000000","11730000000","","","17750000000","18710000000","","","","","","","","","","","","","34345000000","36941000000","41000000000","44700000000","44700000000","45800000000","48131650310","48521471140","55342075020","55356501520","","","","",
"Congo, Dem. Rep.","COD","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014149114000","2229425011000","2463824942000","","","6956549781000","","","","","18284371000000","14833585000000","15068232000000","26730895000000","34031174000000","27224209000000","33340326480000","35018818720000","42392921400000","17493632470000","44198712590000","47786117560000","45125738380000","67330183230000","78766682370000","90404136400000","100477120100000","",
"Comoros","COM","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532727217","497337262","86519301","49789932","45551871","41901420","36539676","41316127","43095255","55651572","45717044","55687234","60370308","77785463","76586357","78056278","","","","","",
"Costa Rica","CRI","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","170000000","210000000","390000000","640000000","800000000","720000000","1340000000","1830000000","2130000000","2570000000","3940000000","7070000000","8670000000","10860000000","13450000000","19680000000","23630000000","30840000000","35970000000","48260000000","61930000000","81920000000","104240000000","120310000000","148470000000","189600000000","219930000000","283010000000","343640000000","399300000000","456090000000","510700000000","580428000000","697260000000","839300000000","1006400000000","1220623257000","1391885717000","1604618488000","1800535274000","1980168335000","2136840000000","2332186873000","2527789994000","2769644016000","2883988287000","3119222526000","3707979124000","3737250743000","3993106249000","4343289375000","4658776874000","","",
"Caribbean small states","CSS","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
