"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bermuda","BMU","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","47800000","125600000","179700000","140800000","150900000","145300000","169100000","234600000","244500000","301500000","349800000","377900000","472000000","556700000","480700000","519700000","465080000","488221117.1","455178732.1","528300000","648448131.2","750304081.9","895627523.2","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21082992100","26653026350","31128936150","36978393840","36773041650","38969359130","31447614280","32350158860","40704096040","42932793020","45721898150","62036126000","59034275400","58513554570","77500111260","",
"Barbados","BRB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166624000","196300000","202427000","180774029.2","217104110","219993947","185523499","202300265","201038974","202975092","195013979","225369600","232164707","246233741","","","","","","","","","",
"Brunei Darussalam","BRN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","600000","1600000","3800000","4000000","4100000","","4500000","5900000","3100000","6500000","10500000","13100000","30700000","41300000","30500000","48200000","51984000","67400000","70500000","94600000","106814000","115922000","153811000","241250000","173371000","163932000","152139000","203864000","179754228","283394406","382386533.3","286730139.7","1356444000","1762433376","1752286061","1934828000","2170502931","2550299000","1576210000","","","","","",
"Botswana","BWA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","478610000","762200000","998900000","823400000","712200000","829900000","896500000","","","","","","","","","","6610840000","7835250000","7751780000","7931730000","6208300000","8425640000","14218360000","13171790000","15692493470","15819320000","11776660000","17866555000","14790160000","13978300000","16459930000","14149010000","13847970000","13847970000","24213980570","",
"Central African Republic","CAF","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13527665590","","","","","","","","","","","","","","","27577564200","28428318220","31708961040","","","","",
"Canada","CAN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4237000000","3742000000","4125000000","3368000000","3758000000","3037000000","2649000000","2715000000","2681000000","2289000000","2441000000","2971000000","3181000000","2981000000","2922000000","3314000000","3517000000","3794000000","3966000000","3681000000","3436000000","3839000000","4002000000","4181000000","4512000000","5169000000","5449000000","5583000000","6629000000","5481000000","4013000000","5187000000","6117000000","5911000000","5671000000","",
"Central Europe and the Baltics","CEB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","2921000000","2987000000","2802000000","2939000000","2834000000","2920000000","2990000000","3002000000","3171000000","3244000000","3266000000","3382000000","3393000000","3449000000","3758000000","3773000000","3960000000","4096000000","1200677796","1221216959","1228339852","1173963099","1223313479","1197155773","1358424105","1093455632","1034115236","1098891338","1096077885","1066670873","1091451233","1089804286","1054211980","974058189","1027449594","1040330743","1017108007","1033402040","1079416236","1046326041","1043845066","1059339199","1068410877","1055710602","1134339485","1102681685","1103429699","1142771850","1186807361","1276965273","1221271780","1183570784","","",
"Channel Islands","CHI","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","10000000","40000000","180000000","1040000000","2920000000","6790000000","9640000000","11250000000","14920000000","21370000000","13120000000","29650000000","53060000000","81280000000","80900000000","118990000000","114130000000","164460000000","222490000000","276260000000","334830000000","413110000000","429270000000","535550000000","616670000000","615720000000","612820000000","535490000000","548570000000","510240000000","436600000000","317390000000","259950000000","286000000000","314000000000","300420000000","311517000000","162987000000","269086855000","292935809000","313032000000","302780000000","337138300000","323485149000","308052493000","308006000000","346014808600","303265604400","268175056500","486577471500","595758197400","585979171500","","",
"China","CHN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-296896790000","115750000000","145076890000","179010000000","150759765600","205446000000","258888000000","282491000000","267415890000","288863910000","260781080000","265177350000","304824768400","289756341800","293939020000","261797220000","286186390000","291330940000","264846350000","","",
"Cote d'Ivoire","CIV","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175868000000","","","","","664000000000","","","","","","552000000000","632300000000","644200000000","694300000000","637100000000","704400000000","735900000000","763300000000","747000000000","889600000000","626800000000","911400000000","1065640000000","1186016104000","924761875600","982538642200","1087429792000","1017538852000","1132807104000","1045911365000","1266897932000","1281081361000","1751686513000","","",
"Cameroon","CMR","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74320000000","67710000000","91800000000","87640000000","82950000000","147960000000","","","260020000000","245120000000","","","","","","","","","","","","","294105800000","289709000000","356600000000","338100000000","348400000000","398900000000","405946936000","393224779500","349454786800","398084134600","","","","",
"Congo, Dem. Rep.","COD","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03499","7.23333","161.85","3325.73667","919940","6920000","46160000","111630000","200787000","536000000","2520993000","21764771000","42707034000","53531073000","83789335000","119446749000","163675702000","239274873000","372673632000","439977035000","575850000000","","483257002800","548424111700","598729008700","582485649400","440234376700","435507253800","703462309500","715072172300","631215212300","834832037600","1518608825000","","","",
"Congo, Rep.","COG","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43300000000","36100000000","43300000000","38992869580","34817970440","44900000000","44148000000","52901000000","61427719600","72105219180","91939207710","108530559500","142302756500","150269624100","143546300000","121781300000","105055283100","93101592890","101217169800","101595626300","111901800000","","","","",
"Colombia","COL","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1646641000000","1372620989000","1744097418000","","","1967454571000","","","","","5591131000000","4667986000000","5600386000000","5271750000000","4428638000000","4336568000000","3963426888000","4737629722000","4188466587000","4167064472000","3963900692000","4328002698000","3093935734000","4861838789000","7005329289000","6678467061000","7095551351000","",
"Comoros","COM","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4231321911","4888708953","5376341261","5888183012","5219071334","5388477478","6227687430","5777735520","5699746294","5754437762","6081559354","6812687853","7223627709","7733056586","8011018118","6593093626","","","","","",
"Costa Rica","CRI","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","230000000","290000000","600000000","670000000","740000000","990000000","1120000000","1270000000","1390000000","2790000000","5000000000","6290000000","7650000000","8660000000","11490000000","16130000000","30010000000","33740000000","27710000000","31940000000","37280000000","41570000000","47080000000","63650000000","42200000000","55910000000","62850000000","51660000000","49900000000","55200000000","60200000000","71700000000","92338000000","111127000000","136226730000","170532095000","201564744400","166500436500","186977330800","250252533900","271079865000","304776000000","337385685700","377824242600","445239317000","460147646100","472304277200","478520162200","373000790500","462338262700","547437691000","531785485800","","",
"Caribbean small states","CSS","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","24364656.55","28226095.81","19460970.42","13566295.44","18999648.03","37230425.41","39075714.96","43996487.12","56281331.48","64533876.44","80816848.18","94109767.39","111759620.3","120422229.6","120593089.7","133937267","157635569","180274538.1","189364297.7","192234748.2","210465525.5","173952712.7","166469038.4","172600000","163300000","133800000","100000000","102700000","119400000","130700000","129200000","113300000","43300000","1500000","1500000","300000","1100000","700000","1200000","1900000","1400000","2400000","100000","3900000","-1300000","4800000","4500000","14900000","","","","","","",
"Czechia","CZE","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15170000000","17359000000","17413000000","19608000000","15070000000","13528000000","12107000000","13572000000","10030000000","9602000000","10381000000","3888000000","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","864083279","516404800","291436372","40903350","51129188","51129188","46016269","46016269","40903350","40903350","51129188","46016269","40903350","30677513","30677513","25564594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","1639000000","653000000","461000000","466000000","385000000","243000000","113000000","121000000","123000000","114000000","128000000","143000000","170000000","174000000","188000000","171000000","184000000","185000000","185000000","","","","","","","","","","","","","","","","","","","","","","191000000","198000000","274000000","318000000","359000000","362000000","345000000","364000000","381000000","430000000","422000000","447000000","","",
"Dominican Republic","DOM","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","140400000","166800000","232700000","334900000","257600000","299900000","255600000","281500000","294800000","280300000","195400000","259500000","355500000","578900000","724300000","1198800000","1933000000","2492400000","2928300000","4701200000","8161200000","9117100000","8565300000","9521900000","10183200000","13126600000","15008000000","17968400000","23216400000","19553408440","22194066390","17573023070","37226162550","37800129000","26839246290","23303760530","24829855660","21942405230","23408352370","23003270630","23444139440","23795495560","26562847400","30895386590","33292124590","35130877150","39268792580","39975165870","32640115230","48777129170","59318113380","60670469790","70737198060","",
"Algeria","DZA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
