"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","57753249470.6765","62093555396.8353","61177271936.7502","64466626672.1916","70625985980.6564","78390200545.9777","80484387126.5233","86655569636.4444","75828876444.4118","65967455178.4072","20117687465.1933","6810279734.21057","8205400631.53719","8968427064.5133","7791486157.71156","10270885839.479","10132747108.369","10087478245.6093","9861611535.84086","11486123413.6584","10377004514.2019","11680514723.8522","12415336168.4943","14296379052.2592","18048219860.4371","20637779499.8942","23922347112.0929","29332699087.9247","30759452311.8644","24143615412.6174","24070733155.2839","26385359329.083","27804548528.6075","29010097563.8937","30513736213.9203","31957259691.6799","33563953174.8136","36014791194.4985","38033202290.5566","40076747004.5995","38388697909.8768","42493588675.3596","49013546565.5947","46340400339.0739","48161707428.1572","",
"Bahrain","BHR","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8392337584.26684","8130379936.34502","9683464300.84486","9724686769.63001","9820556862.57492","10663918438.484","10944843992.6509","11431046300.16","13465486546.7848","11692669711.8485","13716219427.8685","19389526034.8992","24760632951.5076","25527778082.0557","23642091063.7535","22301861702.1277","21598591344.0226","23240557200.3573","24570943304.9096","23202863987.6665","23040091220.5343","26538774726.7023","29693884553.2369","30462722033.2468","30943881551.5846","",
"Bahamas, The","BHS","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2225467752.18267","2234636388.13581","2148974958.63275","1991881362.74792","1975478564.23302","2119036977.00968","2183519647.32203","2406385572.68372","3272411759.60525","3710222158.66628","3820521703.0756","4030016939.73364","3877835622.78433","3770367224.77724","3783198556.0985","3917126176.58331","4476407151.95938","5022895184.43997","4837834180.79908","4552540997.41305","3996724577.46479","3981071696.84775","4278274889.33602","4013222003.44927","3953432030.2769","4259483754.91042","4006600000","4304014328.83012","4641352620.48481","4540007176.39168","4384725994.0596","3184511861.64607","3795271716.01035","3759378537.89403","4332517734.98132","4883199702.97978","",
"Bosnia and Herzegovina","BIH","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4941763753.15308","5285339424.43545","5435100220.23516","5774134864.76174","6151568558.2387","6793185604.46268","6772738266.52256","7963185403.87944","8769975697.02485","7512079924.48121","7698274660.34257","7922796650.0576","7971534245.37711","7967062076.88426","8570615554.97132","8723359334.77441","9350985619.63313","10066446204.1098","10463776107.206","10601346473.1779","9178129458.26879","11068614397.619","11757983049.6715","11610500135.5558","12157385570.7493","",
"Belarus","BLR","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25745508683.2931","25796998957.3946","14704289470.5813","11675206561.39","10344231873.0349","7096143395.16272","7862526357.97831","9946095913.5792","9757121243.87605","9737606387.00691","11042446033.0033","12453326697.7577","13724182852.0965","15563290692.2037","18574883044.9154","18370518021.5812","22336392164.298","23972714198.3626","27928267162.2449","25380489642.4392","28483354526.2498","33752775859.8628","37431862745.3342","35859701476.8331","36576915231.6167","32689603597.6413","32231911034.7887","35824324679.0119","38439559467.4743","40401843409.237","37431910000.9256","39582367527.3878","32397993188.1876","39768192421.1413","41856038372.9527","",
"Belize","BLZ","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","289827675.118951","292742587.090421","237678516.511623","213395672.621212","248514589.97712","209617558.584612","213593441.166281","274017105.381602","329218384.939267","374748395.553725","361208252.25465","441725505.607747","395842850.168253","404319558.080258","429869362.302416","407443557.441977","429928129.284851","482017474.838376","532362509.504169","663337608.988376","796608007.521117","790244192.049828","810936609.430796","828072288.761205","766323025.068969","817327375.669192","821106207.120902","811766788.458637","888037125.468121","748515246.077432","772226149.374383","872268637.087837","935001150.624987","1018601189.97859","1053003200.23429","1151466850","1143526009.19893","1119015598.27812","1119756529.72144","1179077457.74662","908927309.009135","1201112071.02999","1323710013.48884","1292270250.29175","1443760130.59638","",
"Bermuda","BMU","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1575610931.28906","1552149000","1647976562.97464","1594321049.99566","1666243231.76862","1686467354.89346","1327781140.92298","1442542382.27261","1566201977.26807","1655735927.35379","1731326065.54093","",
"Bolivia","BOL","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","1047127260.738","1108436756.03821","1312801742.06862","1414055068.07757","1352953923.29153","1786772051.6965","1949126522.49148","2118463981.14084","2138540071.75229","2166472024.01799","2061727204.50596","2350380110.75615","2606384996.36846","2658732816.43969","2393109249.8918","2858135464.89112","2845002266.1171","2820493127.91237","2932772727.95804","2898274959.6162","2293223219.0959","2481642657.37243","1856127208.22615","1611924488.33671","2002615129.88652","2418628209.40459","2634947894.30472","2838734354.99879","2833741794.42786","2842859692.4651","3134065872.39462","3528623286.72541","3878804130.65005","3850550739.32419","3825729411.65871","4166971435.89832","4497839743.85738","5106807076.89227","6246174347.57002","5175525960.21958","5417218799.39235","5144190047.63856","5817822216.73009","5871056736.22896","6191937597.28717","7107514011.44548","7474289934.50968","7801094016.8218","8537099530.19106","7665538910.49899","8511895665.21724","9959787672.25333","10386156800.9353","11235679200.3149","12930333895.7468","12231374703.3285","11718553754.5319","12372529358.5397","12914436298.2655","12818733082.8054","8955274413.71903","10989068577.6988","12649909878.6956","12138304255.6956","10870575842.9741","",
"Brazil","BRA","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","11180684749.3547","10790654043.2594","10660700916.7632","10400708203.0965","9100577214.52724","7800446146.857","10270557772.2409","11050610100.543","13650674534.3598","15210780386.329","41638635952.0892","49837373742.5192","59867563001.7475","72087374896.1952","92446351381.794","88356536161.2535","87328988888.5545","80585003140.0725","84133135322.8881","91197795462.6946","91823902518.8211","78047636090.7988","67656063662.9691","73464796721.854","70514159778.9053","64866610874.715","61786816477.4392","61990275352.8132","58926288121.9441","54445935936.6257","66479933549.6824","76394543679.2263","80558740162.6704","91466022413.0228","97040019252.7261","104576700059.402","110427050308.701","126543963225.891","126472261851.446","107382354645.347","118978131307.008","122941772158.749","106581579826.55","106066260864.723","117059016135.681","125793194376.103","148137316893.872","177109418841.542","207263555308.203","191507447293.227","255928684714.214","279968740334.813","283134771692.676","302018952965.28","295157397711.089","253272683229.75","227076859775.708","242329477830.376","261092513584.321","264571743897.231","239499234726.805","272435297038.05","275027501896.723","271774348078.729","314096543521.977","",
"Barbados","BRB","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1717814021.65915","2026122160.72442","2316054379.08986","2875500924.46178","2974186765.89127","2755716748.07304","3193337331.11443","3869165172.12346","3224644595.7826","2791107512.76127","2689699266.12156","2522037537.7756","2601425871.85091","2959333225.90489","2715114298.17891","2816818191.28364","2897944400.53247","3018166513.12878","3421237637.55052","3799732448.89727","3767539538.37712","3755787268.00631","5021645900.31827","6055819534.63339","6935768838.33323","5349765184.22785","4872546659.38377","4346133827.55604","4402031634.27345","5637791458.63965","6413892174.75192","6290496282.26216","7988177765.51551","8908823732.16628","8215639129.65495","8079261099.1618","",
